edges,prim_1,kruskal_1,prim_5,kruskal_5,prim_9,kruskal_9

10,5.069999999984809e-05,2.269999999993111e-05,6.550000000005163e-05,2.089999999999037e-05,0.000101600000000035,2.1000000000048757e-05

310,0.005081400000000125,0.007336000000000009,0.010652299999999837,0.006871700000000036,0.02547940000000004,0.0111486999999999

610,0.014653599999999933,0.028615499999999905,0.03590859999999996,0.03187989999999985,0.0546234000000001,0.03464879999999981

910,0.025421999999999834,0.07185140000000034,0.07408189999999992,0.07629870000000016,0.12099499999999974,0.10666840000000022

1210,0.04433699999999963,0.12534690000000026,0.12120029999999993,0.14432460000000003,0.29834669999999974,0.19152519999999917

1510,0.06430769999999875,0.19461339999999971,0.1838419000000009,0.23987299999999934,0.2887549000000007,0.2660523000000019

1810,0.08146800000000098,0.25776850000000096,0.27742239999999896,0.3548152000000009,0.422118600000001,0.48106710000000064

2110,0.1288583999999986,0.37872869999999637,0.3914775000000006,0.504581899999998,0.8874873000000036,0.7781021000000052

2410,0.13237939999999782,0.5217287999999982,0.48608600000000024,0.6839094999999986,0.7190550999999914,0.8316189000000094

2710,0.16757220000000927,0.8586860000000058,0.5622195999999917,1.0089976999999948,0.9335256000000101,1.100541800000002

3010,0.2041001000000051,0.8250329999999906,0.6709639999999979,1.1991505999999958,1.1568809000000044,1.2745786000000123

3310,0.21729030000000193,1.0088399000000265,0.7798568999999986,1.4638883000000078,1.3881715999999926,1.609715699999981

3610,0.2606913999999847,1.20021220000001,0.9292231999999956,1.7671543000000156,1.6545306000000153,1.8216886000000159

3910,0.2991307000000063,1.4132523999999762,1.1494347000000005,2.2691394000000003,2.0026328999999805,2.7322547999999642

